Time,Max,Min,SMA,RSI,Value
2019-05-03 09:00,1.344640000,1.344260000,1.3440359649123,59.122282888636,1.344370000
2019-05-03 10:00,1.342450000,1.341150000,1.3440417241379,54.454881867349,1.342360000
2019-05-03 11:00,1.342260000,1.341960000,1.344013220339,51.718831236352,1.342260000
2019-05-03 12:00,1.34260000,1.342490000,1.343984,52.489253376421,1.34250000
2019-05-03 13:00,1.34230000,1.342150000,1.3440633333333,52.032593123209,1.342210000
2019-05-03 14:00,1.343050000,1.342880000,1.3441346666667,52.970882979562,1.342880000
2019-05-03 15:00,1.342740000,1.342550000,1.3442173333333,52.169723163182,1.342670000
2019-05-03 16:00,1.34270000,1.342580000,1.3442818333333,52.36405221026,1.342610000
2019-05-05 17:00,1.345950000,1.345630000,1.3443515,52.881207438971,1.34590000
2019-05-05 18:00,1.345610000,1.345410000,1.3444645,56.065500724072,1.345580000
2019-05-05 19:00,1.345590000,1.345440000,1.3445661666667,56.768804799261,1.345550000
2019-05-05 20:00,1.347280000,1.347020000,1.3446665,58.292011019283,1.347140000
2019-05-05 21:00,1.348550000,1.348180000,1.3447793333333,59.136302294196,1.348180000
2019-05-05 22:00,1.347440000,1.347250000,1.3449115,58.837310041815,1.347320000
2019-05-05 23:00,1.347590000,1.347430000,1.3450285,59.051057246003,1.347560000
2019-05-06 00:00,1.347590000,1.34750000,1.3451256666667,57.754722000532,1.347570000
2019-05-06 01:00,1.3470000,1.346860000,1.3452225,57.732233164759,1.346960000
2019-05-06 02:00,1.347890000,1.347610000,1.345295,57.464087169224,1.347690000
2019-05-06 03:00,1.348870000,1.348560000,1.3453991666667,58.471130387639,1.348660000
2019-05-06 04:00,1.347580000,1.347430000,1.345459,55.243938066024,1.347580000
2019-05-06 05:00,1.34780000,1.347670000,1.3455128333333,54.668979473836,1.347790000
2019-05-06 06:00,1.347590000,1.347410000,1.345569,54.85171321624,1.347420000
2019-05-06 07:00,1.347140000,1.347040000,1.3456335,55.652936021034,1.347040000
2019-05-06 08:00,1.347130000,1.346930000,1.3456881666667,56.413723823506,1.346960000
2019-05-06 09:00,1.348560000,1.348330000,1.3457396666667,57.781891099799,1.34850000
2019-05-06 10:00,1.347230000,1.346970000,1.3458253333333,58.883557921172,1.346970000
2019-05-06 11:00,1.34550000,1.345140000,1.3458773333333,57.57112711926,1.345270000
2019-05-06 12:00,1.344730000,1.344510000,1.3458935,56.270675099902,1.34470000
2019-05-06 13:00,1.345390000,1.345270000,1.3459061666667,55.990625658311,1.345280000
2019-05-06 14:00,1.344470000,1.344370000,1.3459313333333,55.290197167454,1.344460000
2019-05-06 15:00,1.343810000,1.343460000,1.3459418333333,55.796897758925,1.343740000
2019-05-06 16:00,1.343850000,1.34380000,1.3459425,55.049919322307,1.343810000
2019-05-06 17:00,1.344560000,1.344040000,1.3459406666667,54.86214840882,1.344560000
2019-05-06 18:00,1.345680000,1.345530000,1.3459435,55.211394980782,1.345530000
2019-05-06 19:00,1.345130000,1.345110000,1.3459608333333,56.262879010892,1.345120000
2019-05-06 20:00,1.344960000,1.344840000,1.3459771666667,56.188446273703,1.344860000
2019-05-06 21:00,1.344160000,1.344130000,1.3459936666667,56.20083805043,1.344140000
2019-05-06 22:00,1.342090000,1.3420000,1.3459676666667,54.721770917953,1.342080000
2019-05-06 23:00,1.342090000,1.342040000,1.3458963333333,53.168955816647,1.342070000
2019-05-07 00:00,1.342240000,1.342170000,1.3458395,54.143320554409,1.342230000
2019-05-07 01:00,1.341850000,1.341510000,1.3457625,52.446483180428,1.341510000
2019-05-07 02:00,1.343170000,1.342750000,1.3456751666667,51.745689655173,1.342760000
2019-05-07 03:00,1.34280000,1.34260000,1.345621,52.637778712663,1.342620000
2019-05-07 04:00,1.343430000,1.343240000,1.3455465,52.66953386333,1.343240000
2019-05-07 05:00,1.344310000,1.344170000,1.345486,52.098600932712,1.344290000
2019-05-07 06:00,1.344410000,1.344240000,1.3454338333333,52.7841856236,1.344240000
2019-05-07 07:00,1.346040000,1.345830000,1.3453848333333,53.004632917385,1.345840000
2019-05-07 08:00,1.347120000,1.346930000,1.3453683333333,53.803910082741,1.347120000
2019-05-07 09:00,1.347030000,1.346750000,1.3453701666667,55.129086555558,1.346830000
2019-05-07 10:00,1.348020000,1.347550000,1.3453795,55.663538873994,1.347970000
2019-05-07 11:00,1.347650000,1.347390000,1.3453996666667,56.409592619613,1.347410000
2019-05-07 12:00,1.34740000,1.34720000,1.3454096666667,57.352576039727,1.347260000
2019-05-07 13:00,1.347120000,1.346940000,1.3454198333333,57.364148571251,1.347030000
2019-05-07 14:00,1.348680000,1.348540000,1.3454206666667,58.390150777262,1.348540000
2019-05-07 15:00,1.348050000,1.347910000,1.3454521666667,58.766571648342,1.347940000
2019-05-07 16:00,1.347460000,1.347270000,1.3454728333333,59.681628392484,1.347450000
2019-05-07 17:00,1.347230000,1.346660000,1.3454865,59.218021750388,1.347230000
2019-05-07 18:00,1.347040000,1.346950000,1.345509,59.804251186073,1.347040000
2019-05-07 19:00,1.347070000,1.346970000,1.3455098333333,60.055197792088,1.347020000
2019-05-07 20:00,1.347270000,1.347160000,1.3455061666667,61.425837025146,1.347170000
2019-05-07 21:00,1.346960000,1.346780000,1.3455098333333,60.244761728166,1.346940000
2019-05-07 22:00,1.347420000,1.346370000,1.3455526666667,62.989530825901,1.346380000
2019-05-07 23:00,1.346370000,1.346230000,1.3456196666667,64.811490125673,1.346350000
2019-05-08 00:00,1.346460000,1.346430000,1.3456878333333,64.902117459049,1.346430000
2019-05-08 01:00,1.345930000,1.34580000,1.3457533333333,64.733038940185,1.345890000
2019-05-08 02:00,1.346270000,1.346030000,1.3458146666667,64.40982624326,1.346240000
2019-05-08 03:00,1.345560000,1.345360000,1.3458706666667,64.065335753176,1.345430000
